시장,종목명,종목코드
KOSDAQ,3S,060310
KOSDAQ,APS,054620
KOSDAQ,APS이노베이션,079810
KOSDAQ,CG인바이츠,083790
KOSDAQ,CJ프레시웨이,051500
KOSDAQ,CNT85,056730
KOSDAQ,CS,065770
KOSDAQ,CSA 코스믹,083660
KOSDAQ,DGI,099520
KOSDAQ,DH오토리드,290120
KOSDAQ,DH오토웨어,025440
KOSDAQ,DMS,068790
KOSDAQ,DSC인베스트먼트,241520
KOSDAQ,E8,418620
KOSDAQ,EDGC,245620
KOSDAQ,EG,037370
KOSDAQ,ES큐브,050120
KOSDAQ,FSN,214270
KOSDAQ,GC메디아이,032620
KOSDAQ,GRT,900290
KOSDAQ,GST,083450
KOSDAQ,HB인베스트먼트,440290
KOSDAQ,HB테크놀러지,078150
KOSDAQ,HC홈센타,060560
KOSDAQ,HEM파마,376270
KOSDAQ,HK이노엔,195940
KOSDAQ,HLB생명과학,067630
KOSDAQ,HLB이노베이션,024850
KOSDAQ,HLB제넥스,187420
KOSDAQ,HLB테라퓨틱스,115450
KOSDAQ,HLB파나진,046210
KOSDAQ,HLB펩,196300
KOSDAQ,ISC,095340
KOSDAQ,JTC,950170
KOSDAQ,JYP Ent.,035900
KOSDAQ,KBG,318000
KOSDAQ,KBI메탈,024840
KOSDAQ,KB오토시스,024120
KOSDAQ,KD,044180
KOSDAQ,KG이니시스,035600
KOSDAQ,KG파이낸셜,046440
KOSDAQ,KH바텍,060720
KOSDAQ,KNN,058400
KOSDAQ,KS인더스트리,101000
KOSDAQ,KX,122450
KOSDAQ,KX하이텍,052900
KOSDAQ,KZ정밀,036560
KOSDAQ,LB인베스트먼트,309960
KOSDAQ,LIG아큐버,073490
KOSDAQ,LK삼양,225190
KOSDAQ,LS머트리얼즈,417200
KOSDAQ,LS티라유텍,322180
KOSDAQ,M83,476080
KOSDAQ,MDS테크,086960
KOSDAQ,NE능률,053290
KOSDAQ,NHN KCP,060250
KOSDAQ,NHN벅스,104200
KOSDAQ,NICE인프라,063570
KOSDAQ,PN풍년,024940
KOSDAQ,PS일렉트로닉스,332570
KOSDAQ,RF머트리얼즈,327260
KOSDAQ,S&K폴리텍,091340
KOSDAQ,SAMG엔터,419530
KOSDAQ,SBI인베스트먼트,019550
KOSDAQ,SCL사이언스,246960
KOSDAQ,SDN,099220
KOSDAQ,SFA,056190
KOSDAQ,SFA넥셀,222080
KOSDAQ,SG,255220
KOSDAQ,SG&G,040610
KOSDAQ,SGC E&C,016250
KOSDAQ,SM C&C,048550
KOSDAQ,SM Life Design,063440
KOSDAQ,SOOP,067160
KOSDAQ,SV인베스트먼트,289080
KOSDAQ,SY동아,041930
KOSDAQ,THE E&M,089230
KOSDAQ,TS인베스트먼트,246690
KOSDAQ,TS트릴리온,317240
KOSDAQ,YTN,040300
KOSDAQ,YW,051390
KOSDAQ,가비아,079940
KOSDAQ,가온그룹,078890
KOSDAQ,가온칩스,399720
KOSDAQ,감성코퍼레이션,036620
KOSDAQ,강동씨앤엘,198440
KOSDAQ,경남스틸,039240
KOSDAQ,고려신용정보,049720
KOSDAQ,고영,098460
KOSDAQ,골드앤에스,035290
KOSDAQ,광무,029480
KOSDAQ,광진실업,026910
KOSDAQ,구영테크,053270
KOSDAQ,국보디자인,066620
KOSDAQ,국순당,043650
KOSDAQ,국영지앤엠,006050
KOSDAQ,국일신동,060480
KOSDAQ,국일제지,078130
KOSDAQ,국전,307750
KOSDAQ,그래디언트,035080
KOSDAQ,그래피,318060
KOSDAQ,그리드위즈,453450
KOSDAQ,그리티,204020
KOSDAQ,그린리소스,402490
KOSDAQ,그린생명과학,114450
KOSDAQ,그린플러스,186230
KOSDAQ,글로본,019660
KOSDAQ,금양그린파워,282720
KOSDAQ,금화피에스시,036190
KOSDAQ,기가비스,420770
KOSDAQ,꿈비,407400
KOSDAQ,나라셀라,405920
KOSDAQ,나라엠앤디,051490
KOSDAQ,나무가,190510
KOSDAQ,나무기술,242040
KOSDAQ,나우IB,293580
KOSDAQ,나이벡,138610
KOSDAQ,나이스디앤비,130580
KOSDAQ,나인앤컴퍼니,366030
KOSDAQ,나인테크,267320
KOSDAQ,내츄럴엔도텍,168330
KOSDAQ,네오리진,094860
KOSDAQ,네오셈,253590
KOSDAQ,네오오토,212560
KOSDAQ,네오위즈,095660
KOSDAQ,네오크레마,311390
KOSDAQ,네오티스,085910
KOSDAQ,네이블,153460
KOSDAQ,네이처셀,007390
KOSDAQ,네패스,033640
KOSDAQ,네패스아크,330860
KOSDAQ,넥사다이내믹스,351320
KOSDAQ,넥스턴앤롤코리아,089140
KOSDAQ,넥스트아이,137940
KOSDAQ,넥스트칩,396270
KOSDAQ,넥스틴,348210
KOSDAQ,넥써쓰,205500
KOSDAQ,넵튠,217270
KOSDAQ,노랑풍선,104620
KOSDAQ,노머스,473980
KOSDAQ,노바렉스,194700
KOSDAQ,노바텍,285490
KOSDAQ,노브랜드,145170
KOSDAQ,노을,376930
KOSDAQ,노타,486990
KOSDAQ,누리플랜,069140
KOSDAQ,누리플렉스,040160
KOSDAQ,누보,332290
KOSDAQ,뉴보텍,060260
KOSDAQ,뉴온,123840
KOSDAQ,뉴인텍,012340
KOSDAQ,뉴키즈온,462310
KOSDAQ,뉴트리,270870
KOSDAQ,뉴파워프라즈마,144960
KOSDAQ,뉴프렉스,085670
KOSDAQ,다날,064260
KOSDAQ,다보링크,340360
KOSDAQ,다산네트웍스,039560
KOSDAQ,다산디엠씨,208860
KOSDAQ,다산솔루에타,154040
KOSDAQ,다우데이타,032190
KOSDAQ,다원시스,068240
KOSDAQ,닷밀,464580
KOSDAQ,대동기어,008830
KOSDAQ,대동스틸,048470
KOSDAQ,대륙제관,004780
KOSDAQ,대림제지,017650
KOSDAQ,대모,317850
KOSDAQ,대보마그네틱,290670
KOSDAQ,대봉엘에스,078140
KOSDAQ,대산F&B,065150
KOSDAQ,대성미생물,036480
KOSDAQ,대성창투,027830
KOSDAQ,대성하이텍,129920
KOSDAQ,대아티아이,045390
KOSDAQ,대원,007680
KOSDAQ,대정화금,120240
KOSDAQ,대창스틸,140520
KOSDAQ,대한과학,131220
KOSDAQ,대호특수강,021040
KOSDAQ,대호특수강우,021045
KOSDAQ,더라미,032860
KOSDAQ,더블유씨피,393890
KOSDAQ,더블유에스아이,299170
KOSDAQ,더즌,462860
KOSDAQ,더코디,224060
KOSDAQ,더핑크퐁컴퍼니,403850
KOSDAQ,덕산네오룩스,213420
KOSDAQ,덕산테코피아,317330
KOSDAQ,덕산하이메탈,077360
KOSDAQ,덕신이피씨,090410
KOSDAQ,데브시스터즈,194480
KOSDAQ,데이원컴퍼니,373160
KOSDAQ,덴티스,261200
KOSDAQ,도우인시스,484120
KOSDAQ,동국S&C,100130
KOSDAQ,동국생명과학,303810
KOSDAQ,동국알앤에스,075970
KOSDAQ,동방메디컬,240550
KOSDAQ,동방선기,099410
KOSDAQ,동아엘텍,088130
KOSDAQ,동양에스텍,060380
KOSDAQ,동양이엔피,079960
KOSDAQ,동양파일,228340
KOSDAQ,동일기연,032960
KOSDAQ,동일스틸럭스,023790
KOSDAQ,동화기업,025900
KOSDAQ,듀오백,073190
KOSDAQ,드림시큐리티,203650
KOSDAQ,드림씨아이에스,223250
KOSDAQ,드림어스컴퍼니,060570
KOSDAQ,디모아,016670
KOSDAQ,디바이스,187870
KOSDAQ,디아이티,110990
KOSDAQ,디알젬,263690
KOSDAQ,디알텍,214680
KOSDAQ,디앤디파마텍,347850
KOSDAQ,디에스엠,104040
KOSDAQ,디에스케이,109740
KOSDAQ,디에이치엑스컴퍼니,031860
KOSDAQ,디에이피,066900
KOSDAQ,디엔에프,092070
KOSDAQ,디오,039840
KOSDAQ,디와이디,219550
KOSDAQ,디와이씨,310870
KOSDAQ,디와이피엔에프,104460
KOSDAQ,디지아이,043360
KOSDAQ,디지캡,197140
KOSDAQ,디지털대성,068930
KOSDAQ,디케이락,105740
KOSDAQ,디케이앤디,263020
KOSDAQ,디케이티,290550
KOSDAQ,디티씨,066670
KOSDAQ,디티앤씨,187220
KOSDAQ,디티앤씨알오,383930
KOSDAQ,딜리,131180
KOSDAQ,딥노이드,315640
KOSDAQ,딥커머스,900110
KOSDAQ,라닉스,317120
KOSDAQ,라메디텍,462510
KOSDAQ,라온텍,418420
KOSDAQ,라온피플,300120
KOSDAQ,라이온켐텍,171120
KOSDAQ,라이콤,388790
KOSDAQ,라파스,214260
KOSDAQ,램테크놀러지,171010
KOSDAQ,랩지노믹스,084650
KOSDAQ,러셀,217500
KOSDAQ,레드캡투어,038390
KOSDAQ,레메디,387690
KOSDAQ,레몬,294140
KOSDAQ,레이,228670
KOSDAQ,레이언스,228850
KOSDAQ,레이저쎌,412350
KOSDAQ,레이저옵텍,199550
KOSDAQ,레이크머티리얼즈,281740
KOSDAQ,로보로보,215100
KOSDAQ,로보스타,090360
KOSDAQ,로보티즈,108490
KOSDAQ,로스웰,900260
KOSDAQ,로지시스,067730
KOSDAQ,롤링스톤,214610
KOSDAQ,루미르,474170
KOSDAQ,루트K,195990
KOSDAQ,리드코프,012700
KOSDAQ,리센스메디컬,394420
KOSDAQ,리튬포어스,073570
KOSDAQ,리파인,377450
KOSDAQ,린드먼아시아,277070
KOSDAQ,링네트,042500
KOSDAQ,링크드,193250
KOSDAQ,링크제니시스,219420
KOSDAQ,마녀공장,439090
KOSDAQ,마니커에프앤지,195500
KOSDAQ,마키나락스,477850
KOSDAQ,매드업,0039P0
KOSDAQ,매커스,093520
KOSDAQ,머큐리,100590
KOSDAQ,멀티캠퍼스,067280
KOSDAQ,메가엠디,133750
KOSDAQ,메가터치,446540
KOSDAQ,메디아나,041920
KOSDAQ,메디앙스,014100
KOSDAQ,메디콕스,054180
KOSDAQ,메디포스트,078160
KOSDAQ,메쎄이상,408920
KOSDAQ,메쥬,0088M0
KOSDAQ,메지온,140410
KOSDAQ,메카로,241770
KOSDAQ,멕아이씨에스,058110
KOSDAQ,멤레이비티,072770
KOSDAQ,모니터랩,434480
KOSDAQ,모다이노칩,080420
KOSDAQ,모두투어,080160
KOSDAQ,모베이스,101330
KOSDAQ,모비데이즈,363260
KOSDAQ,모비릭스,348030
KOSDAQ,모아데이타,288980
KOSDAQ,모아텍,033200
KOSDAQ,모트렉스,118990
KOSDAQ,모티브링크,463480
KOSDAQ,모헨즈,006920
KOSDAQ,무림SP,001810
KOSDAQ,미래컴퍼니,049950
KOSDAQ,미스터블루,207760
KOSDAQ,미코,059090
KOSDAQ,미투온,201490
KOSDAQ,미트박스,475460
KOSDAQ,민테크,452200
KOSDAQ,바이넥스,053030
KOSDAQ,바이브컴퍼니,301300
KOSDAQ,바텍,043150
KOSDAQ,배럴,267790
KOSDAQ,백금T&A,046310
KOSDAQ,밸로프,331520
KOSDAQ,버넥트,438700
KOSDAQ,범한퓨얼셀,382900
KOSDAQ,베노티앤알,206400
KOSDAQ,베뉴지,019010
KOSDAQ,베셀,177350
KOSDAQ,벡트,457600
KOSDAQ,벨로크,424760
KOSDAQ,보라티알,250000
KOSDAQ,보로노이,310210
KOSDAQ,보성파워텍,006910
KOSDAQ,본느,226340
KOSDAQ,부방,014470
KOSDAQ,부스타,008470
KOSDAQ,브레인즈컴퍼니,099390
KOSDAQ,브리지텍,064480
KOSDAQ,브이씨,365900
KOSDAQ,브이엠,089970
KOSDAQ,브이원텍,251630
KOSDAQ,브이티,018290
KOSDAQ,블루엠텍,439580
KOSDAQ,블루콤,033560
KOSDAQ,비나텍,126340
KOSDAQ,비덴트,121800
KOSDAQ,비비씨,318410
KOSDAQ,비스토스,419540
KOSDAQ,비씨엔씨,146320
KOSDAQ,비아이매트릭스,413640
KOSDAQ,비아트론,141000
KOSDAQ,비에이치아이,083650
KOSDAQ,비엠티,086670
KOSDAQ,비츠로넥스텍,488900
KOSDAQ,비츠로셀,082920
KOSDAQ,비츠로시스,054220
KOSDAQ,비츠로테크,042370
KOSDAQ,비투엔,307870
KOSDAQ,비트맥스,377030
KOSDAQ,비트컴퓨터,032850
KOSDAQ,비트플래닛,049470
KOSDAQ,비피도,238200
KOSDAQ,빅솔론,093190
KOSDAQ,빌리언스,044480
KOSDAQ,삐아,451250
KOSDAQ,사람인,143240
KOSDAQ,산돌,419120
KOSDAQ,삼기,122350
KOSDAQ,삼륭물산,014970
KOSDAQ,삼목에스폼,018310
KOSDAQ,삼보판지,023600
KOSDAQ,삼양엔씨켐,482630
KOSDAQ,삼양컴텍,484590
KOSDAQ,삼양케이씨아이,036670
KOSDAQ,삼영에스앤씨,361670
KOSDAQ,삼영엠텍,054540
KOSDAQ,삼일,032280
KOSDAQ,삼일기업공사,002290
KOSDAQ,삼진,032750
KOSDAQ,삼진엘앤디,054090
KOSDAQ,삼천리자전거,024950
KOSDAQ,삼현,437730
KOSDAQ,삼화네트웍스,046390
KOSDAQ,상보,027580
KOSDAQ,상상인,038540
KOSDAQ,상신이디피,091580
KOSDAQ,상아프론테크,089980
KOSDAQ,새로닉스,042600
KOSDAQ,새빗켐,107600
KOSDAQ,샌즈랩,411080
KOSDAQ,샘씨엔에스,252990
KOSDAQ,샤페론,378800
KOSDAQ,서남,294630
KOSDAQ,서부T&D,006730
KOSDAQ,서산,079650
KOSDAQ,서울옥션,063170
KOSDAQ,서울평가정보,036120
KOSDAQ,서원인텍,093920
KOSDAQ,서전기전,189860
KOSDAQ,서진오토모티브,122690
KOSDAQ,서한,011370
KOSDAQ,서호전기,065710
KOSDAQ,석경에이티,357550
KOSDAQ,선광,003100
KOSDAQ,성광벤드,014620
KOSDAQ,성도이엔지,037350
KOSDAQ,성우,458650
KOSDAQ,성우테크론,045300
KOSDAQ,성원에너텍,340930
KOSDAQ,성일하이텍,365340
KOSDAQ,성창오토텍,080470
KOSDAQ,세경하이테크,148150
KOSDAQ,세동,053060
KOSDAQ,세림B&G,340440
KOSDAQ,세명전기,017510
KOSDAQ,세미티에스,0017J0
KOSDAQ,세미파이브,490470
KOSDAQ,세보엠이씨,011560
KOSDAQ,세아메카닉스,396300
KOSDAQ,세운메디칼,100700
KOSDAQ,세원물산,024830
KOSDAQ,세종메디칼,258830
KOSDAQ,세중,039310
KOSDAQ,세진티에스,067770
KOSDAQ,세코닉스,053450
KOSDAQ,세화피앤씨,252500
KOSDAQ,센코,347000
KOSDAQ,셀레믹스,331920
KOSDAQ,셀레스트라,352770
KOSDAQ,셀로맥스사이언스,471820
KOSDAQ,셀리드,299660
KOSDAQ,셀비온,308430
KOSDAQ,소노스퀘어,007720
KOSDAQ,소룩스,290690
KOSDAQ,손오공,066910
KOSDAQ,솔디펜스,215090
KOSDAQ,솔본,035610
KOSDAQ,솔트룩스,304100
KOSDAQ,솔트웨어,328380
KOSDAQ,쇼박스,086980
KOSDAQ,슈프리마,236200
KOSDAQ,슈프리마에이치큐,094840
KOSDAQ,슈피겐코리아,192440
KOSDAQ,스맥,099440
KOSDAQ,스모트로닉,066590
KOSDAQ,스코넥,276040
KOSDAQ,스타코링크,060240
KOSDAQ,스타플렉스,115570
KOSDAQ,스톤브릿지벤처스,330730
KOSDAQ,스톰테크,352090
KOSDAQ,스트라드비젼,475040
KOSDAQ,스페코,013810
KOSDAQ,스피어,347700
KOSDAQ,승일,049830
KOSDAQ,시공테크,020710
KOSDAQ,시그네틱스,033170
KOSDAQ,시너지이노베이션,048870
KOSDAQ,시노펙스,025320
KOSDAQ,시스웍,269620
KOSDAQ,시지트로닉스,429270
KOSDAQ,시큐레터,418250
KOSDAQ,시큐브,131090
KOSDAQ,신도기연,290520
KOSDAQ,신라에스지,025870
KOSDAQ,신성델타테크,065350
KOSDAQ,신성에스티,416180
KOSDAQ,신스틸,162300
KOSDAQ,신진에스엠,138070
KOSDAQ,신화인터텍,056700
KOSDAQ,신화콘텍,187270
KOSDAQ,신화프리텍,095190
KOSDAQ,심텍,222800
KOSDAQ,싸이맥스,160980
KOSDAQ,싸이버원,356890
KOSDAQ,썸에이지,208640
KOSDAQ,쎄노텍,222420
KOSDAQ,쎄크,081180
KOSDAQ,쎄트렉아이,099320
KOSDAQ,쏘닉스,088280
KOSDAQ,쏠리드,050890
KOSDAQ,쓰리빌리언,394800
KOSDAQ,쓰리에이로직스,177900
KOSDAQ,씨싸이트,109670
KOSDAQ,씨씨에스,066790
KOSDAQ,씨앤지하이테크,264660
KOSDAQ,씨앤투스,352700
KOSDAQ,씨어스,458870
KOSDAQ,씨에스베어링,297090
KOSDAQ,씨엑스아이,900120
KOSDAQ,씨엔알리서치,359090
KOSDAQ,씨엔플러스,115530
KOSDAQ,씨엠티엑스,388210
KOSDAQ,씨유메디칼,115480
KOSDAQ,씨유테크,376290
KOSDAQ,씨이랩,189330
KOSDAQ,씨큐브,101240
KOSDAQ,씨티케이,260930
KOSDAQ,아나패스,123860
KOSDAQ,아난티,025980
KOSDAQ,아로마티카,0015N0
KOSDAQ,아모그린텍,125210
KOSDAQ,아모센스,357580
KOSDAQ,아모텍,052710
KOSDAQ,아미노로직스,074430
KOSDAQ,아바코,083930
KOSDAQ,아바텍,149950
KOSDAQ,아세아텍,050860
KOSDAQ,아셈스,136410
KOSDAQ,아스타,246720
KOSDAQ,아스테라시스,450950
KOSDAQ,아스플로,159010
KOSDAQ,아시아경제,127710
KOSDAQ,아시아종묘,154030
KOSDAQ,아우딘퓨쳐스,227610
KOSDAQ,아우토크립트,331740
KOSDAQ,아이디스,143160
KOSDAQ,아이디피,332370
KOSDAQ,아이비김영,339950
KOSDAQ,아이비젼웍스,469750
KOSDAQ,아이센스,099190
KOSDAQ,아이씨디,040910
KOSDAQ,아이씨에이치,368600
KOSDAQ,아이씨티케이,456010
KOSDAQ,아이언디바이스,464500
KOSDAQ,아이에스티이,212710
KOSDAQ,아이에이,038880
KOSDAQ,아이엘,307180
KOSDAQ,아이엠비디엑스,461030
KOSDAQ,아이엠티,451220
KOSDAQ,아이오케이이엔엠,078860
KOSDAQ,아이윈,090150
KOSDAQ,아이즈비전,031310
KOSDAQ,아이지넷,462980
KOSDAQ,아이진,185490
KOSDAQ,아이컴포넌트,059100
KOSDAQ,아이퀘스트,262840
KOSDAQ,아이크래프트,052460
KOSDAQ,아이텍,119830
KOSDAQ,아이톡시,052770
KOSDAQ,아이티센엔텍,010280
KOSDAQ,아이티센피엔에스,232830
KOSDAQ,아이티아이즈,372800
KOSDAQ,아이티켐,309710
KOSDAQ,아이패밀리에스씨,114840
KOSDAQ,아즈텍WB,032080
KOSDAQ,아진엑스텍,059120
KOSDAQ,아톤,158430
KOSDAQ,아틀라스링크,297570
KOSDAQ,아티스트컴퍼니,321820
KOSDAQ,안랩,053800
KOSDAQ,알멕,354320
KOSDAQ,알비더블유,361570
KOSDAQ,알서포트,131370
KOSDAQ,알에스오토메이션,140670
KOSDAQ,알에프세미,096610
KOSDAQ,알에프텍,061040
KOSDAQ,알엔티엑스,123010
KOSDAQ,알지노믹스,476830
KOSDAQ,알체라,347860
KOSDAQ,알톤,123750
KOSDAQ,알트,459550
KOSDAQ,알티캐스트,085810
KOSDAQ,알파칩스,117670
KOSDAQ,압타머사이언스,291650
KOSDAQ,애니플러스,310200
KOSDAQ,애드포러스,397810
KOSDAQ,액스비스,0011A0
KOSDAQ,액트로,290740
KOSDAQ,앤디포스,238090
KOSDAQ,앤씨앤,092600
KOSDAQ,앱코,129890
KOSDAQ,앱클론,174900
KOSDAQ,앱토크롬,109960
KOSDAQ,앱튼,270520
KOSDAQ,야스,255440
KOSDAQ,양지사,030960
KOSDAQ,얼라인드,238120
KOSDAQ,에너토크,019990
KOSDAQ,에르코스,435570
KOSDAQ,에브리봇,270660
KOSDAQ,에스넷,038680
KOSDAQ,에스디생명공학,217480
KOSDAQ,에스비비테크,389500
KOSDAQ,에스씨디,042110
KOSDAQ,에스아이리소스,065420
KOSDAQ,에스앤더블류,103230
KOSDAQ,에스앤디,260970
KOSDAQ,에스에스알,275630
KOSDAQ,에스에이엠티,031330
KOSDAQ,에스에이티,060540
KOSDAQ,에스엔시스,0008Z0
KOSDAQ,에스엠,041510
KOSDAQ,에스엠씨지,460870
KOSDAQ,에스오에스랩,464080
KOSDAQ,에스와이,109610
KOSDAQ,에스와이스틸텍,365330
KOSDAQ,에스제이그룹,306040
KOSDAQ,에스켐,475660
KOSDAQ,에스코넥,096630
KOSDAQ,에스텍,069510
KOSDAQ,에스투더블유,488280
KOSDAQ,에스트래픽,234300
KOSDAQ,에스티아이,039440
KOSDAQ,에스티오,098660
KOSDAQ,에스티큐브,052020
KOSDAQ,에스팀,458350
KOSDAQ,에스폴리텍,050760
KOSDAQ,에스프리즘,288620
KOSDAQ,에스피지,058610
KOSDAQ,에쎈테크,043340
KOSDAQ,에어레인,163280
KOSDAQ,에이럭스,475580
KOSDAQ,에이루트,096690
KOSDAQ,에이비온,203400
KOSDAQ,에이스침대,003800
KOSDAQ,에이스테크,088800
KOSDAQ,에이스토리,241840
KOSDAQ,에이아이코리아,364950
KOSDAQ,에이에스텍,453860
KOSDAQ,에이에프더블류,312610
KOSDAQ,에이엘티,172670
KOSDAQ,에이유브랜즈,481070
KOSDAQ,에이직랜드,445090
KOSDAQ,에이치브이엠,295310
KOSDAQ,에이치시티,072990
KOSDAQ,에이치엔에스하이텍,044990
KOSDAQ,에이치엘사이언스,239610
KOSDAQ,에이치엠넥스,036170
KOSDAQ,에이치와이티씨,148930
KOSDAQ,에이치케이,044780
KOSDAQ,에이치피오,357230
KOSDAQ,에이텀,355690
KOSDAQ,에이텍,045660
KOSDAQ,에이텍모빌리티,224110
KOSDAQ,에이티넘인베스트,021080
KOSDAQ,에이팩트,200470
KOSDAQ,에이프로,262260
KOSDAQ,에치에프알,230240
KOSDAQ,에프알텍,073540
KOSDAQ,에프앤가이드,064850
KOSDAQ,에프에스티,036810
KOSDAQ,에프엔씨엔터,173940
KOSDAQ,에프엔에스테크,083500
KOSDAQ,에피소드컴퍼니,317530
KOSDAQ,엑셀세라퓨틱스,373110
KOSDAQ,엑셈,205100
KOSDAQ,엑스게이트,356680
KOSDAQ,엑스페릭스,317770
KOSDAQ,엑스플러스,373200
KOSDAQ,엑시온그룹,069920
KOSDAQ,엑시콘,092870
KOSDAQ,엔브이에이치코리아,067570
KOSDAQ,엔비알모션,0004V0
KOSDAQ,엔비티,236810
KOSDAQ,엔시스,333620
KOSDAQ,엔시트론,101400
KOSDAQ,엔알비,475230
KOSDAQ,엔에프씨,265740
KOSDAQ,엔젯,419080
KOSDAQ,엔지켐생명과학,183490
KOSDAQ,엔켐,348370
KOSDAQ,엔텔스,069410
KOSDAQ,엔투텍,227950
KOSDAQ,엔피,291230
KOSDAQ,엔피케이,048830
KOSDAQ,엘디티,096870
KOSDAQ,엘엠에스,073110
KOSDAQ,엘오티베큠,083310
KOSDAQ,엘컴텍,037950
KOSDAQ,엘케이켐,489500
KOSDAQ,엘티씨,170920
KOSDAQ,엠디바이스,226590
KOSDAQ,엠로,058970
KOSDAQ,엠브레인,169330
KOSDAQ,엠아이텍,179290
KOSDAQ,엠에스씨,009780
KOSDAQ,엠에프씨,432980
KOSDAQ,엠엑스온,347890
KOSDAQ,엠오티,413390
KOSDAQ,엠투엔,033310
KOSDAQ,엠플러스,259630
KOSDAQ,엣지파운드리,105550
KOSDAQ,영우디에스피,143540
KOSDAQ,예림당,036000
KOSDAQ,예선테크,250930
KOSDAQ,예스24,053280
KOSDAQ,예스티,122640
KOSDAQ,오가노이드사이언스,476040
KOSDAQ,오공,045060
KOSDAQ,오늘이엔엠,192410
KOSDAQ,오디텍,080520
KOSDAQ,오로라,039830
KOSDAQ,오르비텍,046120
KOSDAQ,오름테라퓨틱,475830
KOSDAQ,오리콤,010470
KOSDAQ,오비고,352910
KOSDAQ,오상자이엘,053980
KOSDAQ,오션인더블유,052300
KOSDAQ,오스테오닉,226400
KOSDAQ,오스템,031510
KOSDAQ,오아,342870
KOSDAQ,오에스피,368970
KOSDAQ,오텍,067170
KOSDAQ,오토앤,353590
KOSDAQ,오파스넷,173130
KOSDAQ,오픈놀,440320
KOSDAQ,오픈베이스,049480
KOSDAQ,올리패스,244460
KOSDAQ,올릭스,226950
KOSDAQ,옵트론텍,082210
KOSDAQ,옵티시스,109080
KOSDAQ,옵티코어,380540
KOSDAQ,와이랩,432430
KOSDAQ,와이솔,122990
KOSDAQ,와이씨,232140
KOSDAQ,와이씨켐,112290
KOSDAQ,와이어블,065530
KOSDAQ,와이엠,007530
KOSDAQ,와이엠씨,155650
KOSDAQ,와이엠텍,273640
KOSDAQ,와이엠티,251370
KOSDAQ,와이제이링크,209640
KOSDAQ,와이즈넛,096250
KOSDAQ,와이즈버즈,273060
KOSDAQ,와이지-원,019210
KOSDAQ,와토스코리아,079000
KOSDAQ,우리기술,032820
KOSDAQ,우리넷,115440
KOSDAQ,우리로,046970
KOSDAQ,우리손에프앤지,073560
KOSDAQ,우리엔터프라이즈,037400
KOSDAQ,우리이앤엘하루틴,153490
KOSDAQ,우림피티에스,101170
KOSDAQ,우양,103840
KOSDAQ,우양에이치씨,101970
KOSDAQ,우주일렉트로,065680
KOSDAQ,우진비앤지,018620
KOSDAQ,우진엔텍,457550
KOSDAQ,워트,396470
KOSDAQ,원익,032940
KOSDAQ,원익IPS,240810
KOSDAQ,원익QnC,074600
KOSDAQ,원익머트리얼즈,104830
KOSDAQ,원익큐브,014190
KOSDAQ,원익피앤이,217820
KOSDAQ,원일특강,012620
KOSDAQ,원일티엔아이,136150
KOSDAQ,원준,382840
KOSDAQ,원텍,336570
KOSDAQ,원티드랩,376980
KOSDAQ,원풍,008370
KOSDAQ,원풍물산,008290
KOSDAQ,월덱스,101160
KOSDAQ,웨이브일렉트로,095270
KOSDAQ,웨이비스,289930
KOSDAQ,웰크론,065950
KOSDAQ,웰크론한텍,076080
KOSDAQ,웰킵스하이텍,043590
KOSDAQ,웹스,196700
KOSDAQ,위너스일렉,479960
KOSDAQ,위닉스,044340
KOSDAQ,위드텍,348350
KOSDAQ,위세아이텍,065370
KOSDAQ,위즈코프,038620
KOSDAQ,위지트,036090
KOSDAQ,위츠,459100
KOSDAQ,윈스테크넷,136540
KOSDAQ,윈팩,097800
KOSDAQ,윈하이텍,192390
KOSDAQ,윙스풋,335870
KOSDAQ,윙입푸드,900340
KOSDAQ,유니셈,036200
KOSDAQ,유니슨,018000
KOSDAQ,유니크,011320
KOSDAQ,유니테크노,241690
KOSDAQ,유디엠텍,389680
KOSDAQ,유라클,088340
KOSDAQ,유라테크,048430
KOSDAQ,유비벨록스,089850
KOSDAQ,유비온,084440
KOSDAQ,유비쿼스,264450
KOSDAQ,유성티엔에스,024800
KOSDAQ,유신,054930
KOSDAQ,유아이디,069330
KOSDAQ,유아이엘,049520
KOSDAQ,유에스티,263770
KOSDAQ,유진기업,023410
