종목명,종목코드,시장
3S,060310,KOSDAQ
APS,054620,KOSDAQ
APS이노베이션,079810,KOSDAQ
AP시스템,265520,KOSDAQ
AP위성,211270,KOSDAQ
BGF에코머티리얼즈,126600,KOSDAQ
CG인바이츠,083790,KOSDAQ
CJ ENM,035760,KOSDAQ
CJ프레시웨이,051500,KOSDAQ
CNT85,056730,KOSDAQ
CS,065770,KOSDAQ
CSA 코스믹,083660,KOSDAQ
DGI,099520,KOSDAQ
DMS,068790,KOSDAQ
DSC인베스트먼트,241520,KOSDAQ
DXVX,180400,KOSDAQ
E8,418620,KOSDAQ
EDGC,245620,KOSDAQ
EG,037370,KOSDAQ
ES큐브,050120,KOSDAQ
FSN,214270,KOSDAQ
GC메디아이,032620,KOSDAQ
GRT,900290,KOSDAQ
GST,083450,KOSDAQ
HB솔루션,297890,KOSDAQ
HB인베스트먼트,440290,KOSDAQ
HB테크놀러지,078150,KOSDAQ
HC보광산업,225530,KOSDAQ
HC홈센타,060560,KOSDAQ
HEM파마,376270,KOSDAQ
HK이노엔,195940,KOSDAQ
HLB생명과학,067630,KOSDAQ
HLB이노베이션,024850,KOSDAQ
HLB제넥스,187420,KOSDAQ
HLB테라퓨틱스,115450,KOSDAQ
HLB파나진,046210,KOSDAQ
HLB펩,196300,KOSDAQ
HRS,036640,KOSDAQ
IBKS제23호스팩,467930,KOSDAQ
IBKS제24호스팩,469480,KOSDAQ
IBKS제25호스팩,0099X0,KOSDAQ
ISC,095340,KOSDAQ
JTC,950170,KOSDAQ
JW신약,067290,KOSDAQ
JYP Ent.,035900,KOSDAQ
KBG,318000,KOSDAQ
KBI메탈,024840,KOSDAQ
KB제29호스팩,478390,KOSDAQ
KB제30호스팩,486630,KOSDAQ
KB제31호스팩,492220,KOSDAQ
KB제32호스팩,0037T0,KOSDAQ
KB제33호스팩,0072Z0,KOSDAQ
KD,044180,KOSDAQ
KG에코솔루션,151860,KOSDAQ
KG이니시스,035600,KOSDAQ
KG파이낸셜,046440,KOSDAQ
KH바텍,060720,KOSDAQ
KNN,058400,KOSDAQ
KS인더스트리,101000,KOSDAQ
KT나스미디어,089600,KOSDAQ
KT밀리의서재,418470,KOSDAQ
KT지니뮤직,043610,KOSDAQ
KX,122450,KOSDAQ
KX하이텍,052900,KOSDAQ
KZ정밀,036560,KOSDAQ
LB세미콘,061970,KOSDAQ
LB인베스트먼트,309960,KOSDAQ
LIG아큐버,073490,KOSDAQ
LK삼양,225190,KOSDAQ
LSK아이로봇,091970,KOSDAQ
LS마린솔루션,060370,KOSDAQ
LS머트리얼즈,417200,KOSDAQ
LS티라유텍,322180,KOSDAQ
M83,476080,KOSDAQ
MDS테크,086960,KOSDAQ
NEW,160550,KOSDAQ
NE능률,053290,KOSDAQ
NHN KCP,060250,KOSDAQ
NHN벅스,104200,KOSDAQ
NICE인프라,063570,KOSDAQ
PN풍년,024940,KOSDAQ
PS일렉트로닉스,332570,KOSDAQ
RFHIC,218410,KOSDAQ
RF머트리얼즈,327260,KOSDAQ
RF시스템즈,474610,KOSDAQ
S&K폴리텍,091340,KOSDAQ
SAMG엔터,419530,KOSDAQ
SBI인베스트먼트,019550,KOSDAQ
SCL사이언스,246960,KOSDAQ
SDN,099220,KOSDAQ
SFA,056190,KOSDAQ
SFA넥셀,222080,KOSDAQ
SG,255220,KOSDAQ
SG&G,040610,KOSDAQ
SGA솔루션즈,184230,KOSDAQ
SGC E&C,016250,KOSDAQ
SKAI,357880,KOSDAQ
SM C&C,048550,KOSDAQ
SM Life Design,063440,KOSDAQ
SOOP,067160,KOSDAQ
SV인베스트먼트,289080,KOSDAQ
SY동아,041930,KOSDAQ
THE E&M,089230,KOSDAQ
TJ미디어,032540,KOSDAQ
TPC로보틱스,048770,KOSDAQ
TS인베스트먼트,246690,KOSDAQ
TS트릴리온,317240,KOSDAQ
YBM넷,057030,KOSDAQ
YTN,040300,KOSDAQ
YW,051390,KOSDAQ
iMBC,052220,KOSDAQ
가비아,079940,KOSDAQ
가온그룹,078890,KOSDAQ
가온칩스,399720,KOSDAQ
감성코퍼레이션,036620,KOSDAQ
강동씨앤엘,198440,KOSDAQ
강원에너지,114190,KOSDAQ
갤럭시아머니트리,094480,KOSDAQ
경남스틸,039240,KOSDAQ
경창산업,024910,KOSDAQ
고려신용정보,049720,KOSDAQ
고스트스튜디오,950190,KOSDAQ
고영,098460,KOSDAQ
골드앤에스,035290,KOSDAQ
골프존,215000,KOSDAQ
골프존홀딩스,121440,KOSDAQ
광무,029480,KOSDAQ
광진실업,026910,KOSDAQ
교보15호스팩,465320,KOSDAQ
교보16호스팩,482520,KOSDAQ
교보17호스팩,489210,KOSDAQ
교보18호스팩,0041B0,KOSDAQ
교보19호스팩,0098T0,KOSDAQ
교보20호스팩,0132G0,KOSDAQ
구영테크,053270,KOSDAQ
국보디자인,066620,KOSDAQ
국순당,043650,KOSDAQ
국영지앤엠,006050,KOSDAQ
국일신동,060480,KOSDAQ
국일제지,078130,KOSDAQ
국전,307750,KOSDAQ
그래디언트,035080,KOSDAQ
그래피,318060,KOSDAQ
그리드위즈,453450,KOSDAQ
그리티,204020,KOSDAQ
그린광학,0015G0,KOSDAQ
그린리소스,402490,KOSDAQ
그린생명과학,114450,KOSDAQ
그린플러스,186230,KOSDAQ
글로벌에스엠,900070,KOSDAQ
글로벌텍스프리,204620,KOSDAQ
글로본,019660,KOSDAQ
금양그린파워,282720,KOSDAQ
금화피에스시,036190,KOSDAQ
기가레인,049080,KOSDAQ
기가비스,420770,KOSDAQ
꿈비,407400,KOSDAQ
나노,187790,KOSDAQ
나노씨엠에스,247660,KOSDAQ
나노엔텍,039860,KOSDAQ
나노팀,417010,KOSDAQ
나라셀라,405920,KOSDAQ
나라스페이스테크놀로지,478340,KOSDAQ
나라엠앤디,051490,KOSDAQ
나래나노텍,137080,KOSDAQ
나무가,190510,KOSDAQ
나무기술,242040,KOSDAQ
나우IB,293580,KOSDAQ
나우로보틱스,459510,KOSDAQ
나이벡,138610,KOSDAQ
나이스디앤비,130580,KOSDAQ
나인앤컴퍼니,366030,KOSDAQ
나인테크,267320,KOSDAQ
남화산업,111710,KOSDAQ
남화토건,091590,KOSDAQ
내츄럴엔도텍,168330,KOSDAQ
네오리진,094860,KOSDAQ
네오셈,253590,KOSDAQ
네오위즈,095660,KOSDAQ
네오위즈홀딩스,042420,KOSDAQ
네오이뮨텍,950220,KOSDAQ
네오크레마,311390,KOSDAQ
네오티스,085910,KOSDAQ
네오팜,092730,KOSDAQ
네이블,153460,KOSDAQ
네이처셀,007390,KOSDAQ
네패스,033640,KOSDAQ
네패스아크,330860,KOSDAQ
넥사다이내믹스,351320,KOSDAQ
넥스턴앤롤코리아,089140,KOSDAQ
넥스트아이,137940,KOSDAQ
넥스트칩,396270,KOSDAQ
넥스틴,348210,KOSDAQ
넥써쓰,205500,KOSDAQ
넵튠,217270,KOSDAQ
노랑풍선,104620,KOSDAQ
노머스,473980,KOSDAQ
노바렉스,194700,KOSDAQ
노바텍,285490,KOSDAQ
노브랜드,145170,KOSDAQ
노을,376930,KOSDAQ
노타,486990,KOSDAQ
녹십자엠에스,142280,KOSDAQ
녹십자웰빙,234690,KOSDAQ
누리플랜,069140,KOSDAQ
누리플렉스,040160,KOSDAQ
누보,332290,KOSDAQ
뉴로메카,348340,KOSDAQ
뉴로핏,380550,KOSDAQ
뉴보텍,060260,KOSDAQ
뉴엔AI,463020,KOSDAQ
뉴온,123840,KOSDAQ
뉴인텍,012340,KOSDAQ
뉴키즈온,462310,KOSDAQ
뉴트리,270870,KOSDAQ
뉴파워프라즈마,144960,KOSDAQ
뉴프렉스,085670,KOSDAQ
다날,064260,KOSDAQ
다보링크,340360,KOSDAQ
다산네트웍스,039560,KOSDAQ
다산디엠씨,208860,KOSDAQ
다산솔루에타,154040,KOSDAQ
다우데이타,032190,KOSDAQ
다원넥스뷰,323350,KOSDAQ
다원시스,068240,KOSDAQ
다이나믹솔루션,290660,KOSDAQ
닷밀,464580,KOSDAQ
대동금속,020400,KOSDAQ
대동기어,008830,KOSDAQ
대동스틸,048470,KOSDAQ
대륙제관,004780,KOSDAQ
대림제지,017650,KOSDAQ
대명에너지,389260,KOSDAQ
대모,317850,KOSDAQ
대보마그네틱,290670,KOSDAQ
대봉엘에스,078140,KOSDAQ
대산F&B,065150,KOSDAQ
대성미생물,036480,KOSDAQ
대성창투,027830,KOSDAQ
대성하이텍,129920,KOSDAQ
대신밸런스제17호스팩,471050,KOSDAQ
대신밸런스제19호스팩,482690,KOSDAQ
대신밸런스제20호스팩,0134X0,KOSDAQ
대아티아이,045390,KOSDAQ
대양전기공업,108380,KOSDAQ
대원,007680,KOSDAQ
대원미디어,048910,KOSDAQ
대원산업,005710,KOSDAQ
대정화금,120240,KOSDAQ
대주산업,003310,KOSDAQ
대주전자재료,078600,KOSDAQ
대창솔루션,096350,KOSDAQ
대창스틸,140520,KOSDAQ
대한과학,131220,KOSDAQ
대한뉴팜,054670,KOSDAQ
대한약품,023910,KOSDAQ
대호특수강,021040,KOSDAQ
대호특수강우,021045,KOSDAQ
더네이쳐홀딩스,298540,KOSDAQ
더라미,032860,KOSDAQ
더블유씨피,393890,KOSDAQ
더블유에스아이,299170,KOSDAQ
더즌,462860,KOSDAQ
더코디,224060,KOSDAQ
더테크놀로지,043090,KOSDAQ
더핑크퐁컴퍼니,403850,KOSDAQ
덕산네오룩스,213420,KOSDAQ
덕산테코피아,317330,KOSDAQ
덕산하이메탈,077360,KOSDAQ
덕신이피씨,090410,KOSDAQ
덕양에너젠,0001A0,KOSDAQ
덕우전자,263600,KOSDAQ
데브시스터즈,194480,KOSDAQ
데이원컴퍼니,373160,KOSDAQ
데이타솔루션,263800,KOSDAQ
덱스터,206560,KOSDAQ
덴티스,261200,KOSDAQ
도우인시스,484120,KOSDAQ
도이치모터스,067990,KOSDAQ
동국S&C,100130,KOSDAQ
동국산업,005160,KOSDAQ
동국생명과학,303810,KOSDAQ
동국알앤에스,075970,KOSDAQ
동방메디컬,240550,KOSDAQ
동방선기,099410,KOSDAQ
동성화인텍,033500,KOSDAQ
동아엘텍,088130,KOSDAQ
동양에스텍,060380,KOSDAQ
동양이엔피,079960,KOSDAQ
동양파일,228340,KOSDAQ
동우팜투테이블,088910,KOSDAQ
동운아나텍,094170,KOSDAQ
동일금속,109860,KOSDAQ
동일기연,032960,KOSDAQ
동일스틸럭스,023790,KOSDAQ
동진쎄미켐,005290,KOSDAQ
동화기업,025900,KOSDAQ
두산테스나,131970,KOSDAQ
듀오백,073190,KOSDAQ
드래곤플라이,030350,KOSDAQ
드림시큐리티,203650,KOSDAQ
드림씨아이에스,223250,KOSDAQ
드림어스컴퍼니,060570,KOSDAQ
드림인사이트,362990,KOSDAQ
디모아,016670,KOSDAQ
디바이스,187870,KOSDAQ
디아이티,110990,KOSDAQ
디알젬,263690,KOSDAQ
디알텍,214680,KOSDAQ
디앤디파마텍,347850,KOSDAQ
디앤씨미디어,263720,KOSDAQ
디어유,376300,KOSDAQ
디에스엠,104040,KOSDAQ
디에스케이,109740,KOSDAQ
디에이치엑스컴퍼니,031860,KOSDAQ
디에이테크놀로지,196490,KOSDAQ
디에이피,066900,KOSDAQ
디엔에프,092070,KOSDAQ
디오,039840,KOSDAQ
디와이디,219550,KOSDAQ
디와이씨,310870,KOSDAQ
디와이피엔에프,104460,KOSDAQ
디젠스,113810,KOSDAQ
디지아이,043360,KOSDAQ
디지캡,197140,KOSDAQ
디지털대성,068930,KOSDAQ
디케이락,105740,KOSDAQ
디케이앤디,263020,KOSDAQ
디케이티,290550,KOSDAQ
디티씨,066670,KOSDAQ
디티앤씨,187220,KOSDAQ
디티앤씨알오,383930,KOSDAQ
딜리,131180,KOSDAQ
딥노이드,315640,KOSDAQ
딥커머스,900110,KOSDAQ
라닉스,317120,KOSDAQ
라메디텍,462510,KOSDAQ
라온로보틱스,232680,KOSDAQ
라온시큐어,042510,KOSDAQ
라온텍,418420,KOSDAQ
라온피플,300120,KOSDAQ
라이온켐텍,171120,KOSDAQ
라이콤,388790,KOSDAQ
라파스,214260,KOSDAQ
램테크놀러지,171010,KOSDAQ
랩지노믹스,084650,KOSDAQ
러셀,217500,KOSDAQ
레드캡투어,038390,KOSDAQ
레메디,387690,KOSDAQ
레몬,294140,KOSDAQ
레뷰코퍼레이션,443250,KOSDAQ
레이,228670,KOSDAQ
레이언스,228850,KOSDAQ
레이저쎌,412350,KOSDAQ
레이저옵텍,199550,KOSDAQ
레이크머티리얼즈,281740,KOSDAQ
로보로보,215100,KOSDAQ
로보스타,090360,KOSDAQ
로보티즈,108490,KOSDAQ
로스웰,900260,KOSDAQ
로젠,033290,KOSDAQ
로지시스,067730,KOSDAQ
로체시스템즈,071280,KOSDAQ
롤링스톤,214610,KOSDAQ
루멘스,038060,KOSDAQ
루미르,474170,KOSDAQ
루트K,195990,KOSDAQ
리노공업,058470,KOSDAQ
리더스코스메틱,016100,KOSDAQ
리드코프,012700,KOSDAQ
리메드,302550,KOSDAQ
리브스메드,491000,KOSDAQ
리센스메디컬,394420,KOSDAQ
리튬포어스,073570,KOSDAQ
리파인,377450,KOSDAQ
린드먼아시아,277070,KOSDAQ
링네트,042500,KOSDAQ
링크드,193250,KOSDAQ
링크솔루션,474650,KOSDAQ
링크제니시스,219420,KOSDAQ
마녀공장,439090,KOSDAQ
마니커에프앤지,195500,KOSDAQ
마음AI,377480,KOSDAQ
마이크로디지탈,305090,KOSDAQ
마이크로컨텍솔,098120,KOSDAQ
마이크로투나노,424980,KOSDAQ
마크로젠,038290,KOSDAQ
마키나락스,477850,KOSDAQ
매드업,0039P0,KOSDAQ
매일유업,267980,KOSDAQ
매일홀딩스,005990,KOSDAQ
매커스,093520,KOSDAQ
머큐리,100590,KOSDAQ
멀티캠퍼스,067280,KOSDAQ
메가엠디,133750,KOSDAQ
메가터치,446540,KOSDAQ
메드팩토,235980,KOSDAQ
메디아나,041920,KOSDAQ
메디앙스,014100,KOSDAQ
메디콕스,054180,KOSDAQ
메디톡스,086900,KOSDAQ
메디포스트,078160,KOSDAQ
메쎄이상,408920,KOSDAQ
메이슨캐피탈,021880,KOSDAQ
메쥬,0088M0,KOSDAQ
메지온,140410,KOSDAQ
메카로,241770,KOSDAQ
멕아이씨에스,058110,KOSDAQ
멤레이비티,072770,KOSDAQ
모니터랩,434480,KOSDAQ
모다이노칩,080420,KOSDAQ
모델솔루션,417970,KOSDAQ
모두투어,080160,KOSDAQ
모바일어플라이언스,087260,KOSDAQ
모베이스,101330,KOSDAQ
모베이스전자,012860,KOSDAQ
모비데이즈,363260,KOSDAQ
모비릭스,348030,KOSDAQ
모아데이타,288980,KOSDAQ
모아라이프플러스,142760,KOSDAQ
모아텍,033200,KOSDAQ
모트렉스,118990,KOSDAQ
모티브링크,463480,KOSDAQ
모헨즈,006920,KOSDAQ
무림SP,001810,KOSDAQ
미디어젠,279600,KOSDAQ
미래나노텍,095500,KOSDAQ
미래에셋벤처투자,100790,KOSDAQ
미래에셋비전스팩10호,0097F0,KOSDAQ
미래에셋비전스팩11호,0099W0,KOSDAQ
미래에셋비전스팩4호,477380,KOSDAQ
미래에셋비전스팩5호,477470,KOSDAQ
미래에셋비전스팩6호,478440,KOSDAQ
미래에셋비전스팩7호,482680,KOSDAQ
미래에셋비전스팩8호,0093G0,KOSDAQ
미래에셋비전스팩9호,0096D0,KOSDAQ
미래컴퍼니,049950,KOSDAQ
미스터블루,207760,KOSDAQ
미코,059090,KOSDAQ
미투온,201490,KOSDAQ
미트박스,475460,KOSDAQ
민테크,452200,KOSDAQ
바디텍메드,206640,KOSDAQ
바른손이앤에이,035620,KOSDAQ
바이넥스,053030,KOSDAQ
바이브컴퍼니,301300,KOSDAQ
바이젠셀,308080,KOSDAQ
바텍,043150,KOSDAQ
배럴,267790,KOSDAQ
백금T&A,046310,KOSDAQ
밸로프,331520,KOSDAQ
뱅크웨어글로벌,199480,KOSDAQ
버넥트,438700,KOSDAQ
버킷스튜디오,066410,KOSDAQ
범한퓨얼셀,382900,KOSDAQ
베노티앤알,206400,KOSDAQ
베뉴지,019010,KOSDAQ
베셀,177350,KOSDAQ
벡트,457600,KOSDAQ
벨로크,424760,KOSDAQ
보라티알,250000,KOSDAQ
보로노이,310210,KOSDAQ
보성파워텍,006910,KOSDAQ
보원케미칼,0010F0,KOSDAQ
본느,226340,KOSDAQ
부방,014470,KOSDAQ
부스타,008470,KOSDAQ
뷰노,338220,KOSDAQ
뷰웍스,100120,KOSDAQ
뷰티스킨,406820,KOSDAQ
브레인즈컴퍼니,099390,KOSDAQ
브리지텍,064480,KOSDAQ
브이씨,365900,KOSDAQ
브이엠,089970,KOSDAQ
브이원텍,251630,KOSDAQ
브이티,018290,KOSDAQ
블랙야크아이앤씨,478560,KOSDAQ
블루엠텍,439580,KOSDAQ
블루콤,033560,KOSDAQ
블리츠웨이엔터테인먼트,369370,KOSDAQ
비나텍,126340,KOSDAQ
비덴트,121800,KOSDAQ
비비씨,318410,KOSDAQ
비스토스,419540,KOSDAQ
비씨엔씨,146320,KOSDAQ
비아이매트릭스,413640,KOSDAQ
비아트론,141000,KOSDAQ
비에이치아이,083650,KOSDAQ
비엔케이제3호스팩,0068Y0,KOSDAQ
비엘팜텍,065170,KOSDAQ
비엠티,086670,KOSDAQ
비츠로넥스텍,488900,KOSDAQ
비츠로셀,082920,KOSDAQ
비츠로시스,054220,KOSDAQ
비츠로테크,042370,KOSDAQ
비케이홀딩스,050090,KOSDAQ
비큐AI,148780,KOSDAQ
비투엔,307870,KOSDAQ
비트맥스,377030,KOSDAQ
비트컴퓨터,032850,KOSDAQ
비트플래닛,049470,KOSDAQ
비피도,238200,KOSDAQ
빅솔론,093190,KOSDAQ
빅텍,065450,KOSDAQ
빌리언스,044480,KOSDAQ
빛과전자,069540,KOSDAQ
빛샘전자,072950,KOSDAQ
삐아,451250,KOSDAQ
사람인,143240,KOSDAQ
사이냅소프트,466410,KOSDAQ
사토시홀딩스,223310,KOSDAQ
산돌,419120,KOSDAQ
삼기,122350,KOSDAQ
삼륭물산,014970,KOSDAQ
삼목에스폼,018310,KOSDAQ
삼미금속,012210,KOSDAQ
삼보모터스,053700,KOSDAQ
삼보산업,009620,KOSDAQ
삼보판지,023600,KOSDAQ
삼성스팩10호,0044K0,KOSDAQ
삼성스팩11호,0071M0,KOSDAQ
삼성스팩12호,0096B0,KOSDAQ
삼성스팩13호,0115H0,KOSDAQ
삼양엔씨켐,482630,KOSDAQ
삼양컴텍,484590,KOSDAQ
삼양케이씨아이,036670,KOSDAQ
삼영에스앤씨,361670,KOSDAQ
삼영엠텍,054540,KOSDAQ
삼영이엔씨,065570,KOSDAQ
삼일,032280,KOSDAQ
삼일기업공사,002290,KOSDAQ
삼지전자,037460,KOSDAQ
삼진,032750,KOSDAQ
삼진엘앤디,054090,KOSDAQ
삼천리자전거,024950,KOSDAQ
삼표시멘트,038500,KOSDAQ
삼현,437730,KOSDAQ
삼화네트웍스,046390,KOSDAQ
상보,027580,KOSDAQ
상상인,038540,KOSDAQ
상신이디피,091580,KOSDAQ
상신전자,263810,KOSDAQ
상아프론테크,089980,KOSDAQ
새로닉스,042600,KOSDAQ
새빗켐,107600,KOSDAQ
샌즈랩,411080,KOSDAQ
샘씨엔에스,252990,KOSDAQ
샤페론,378800,KOSDAQ
서남,294630,KOSDAQ
서부T&D,006730,KOSDAQ
서산,079650,KOSDAQ
서암기계공업,100660,KOSDAQ
서연탑메탈,019770,KOSDAQ
서울옥션,063170,KOSDAQ
서울평가정보,036120,KOSDAQ
서원인텍,093920,KOSDAQ
서전기전,189860,KOSDAQ
서진시스템,178320,KOSDAQ
서플러스글로벌,140070,KOSDAQ
서한,011370,KOSDAQ
서호전기,065710,KOSDAQ
석경에이티,357550,KOSDAQ
선광,003100,KOSDAQ
선익시스템,171090,KOSDAQ
선진뷰티사이언스,086710,KOSDAQ
성광벤드,014620,KOSDAQ
성도이엔지,037350,KOSDAQ
성우,458650,KOSDAQ
성우전자,081580,KOSDAQ
성우테크론,045300,KOSDAQ
성우하이텍,015750,KOSDAQ
성원에너텍,340930,KOSDAQ
성일하이텍,365340,KOSDAQ
성호전자,043260,KOSDAQ
세경하이테크,148150,KOSDAQ
세나테크놀로지,061090,KOSDAQ
세니젠,188260,KOSDAQ
세동,053060,KOSDAQ
